ecr1_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,1,655.7733,1.0965,1.0074,0.4085,0.0743,135,2762
2,1,1151.988,3.7119,3.4764,0.8384,0.5158,409,814
3,1,945.6279,3.5447,3.2214,0.5163,0.5211,446,1570
4,1,665.8336,3.4735,3.2573,0.3523,0.142,174,487
5,1,1008.21,3.8977,3.6367,0.4466,0.1814,285,1024
6,1,822.8433,3.8417,3.4918,NA,NA,237,837
7,1,988.8702,3.713,3.4305,0.2295,0.2103,266,2909
8,1,598.0822,1.8436,1.8489,0.6351,0.3449,187,2911
9,1,664.1229,1.85,1.6233,0.5971,0.3641,213,1519
10,1,67.3074,1.0429,1.0062,0.1972,0.1404,139,1891
11,1,438.724,2.0211,1.8419,0.6198,0.3301,268,3096
12,1,1286.543,3.6363,3.3116,0.9015,1.123,602,1124
13,1,1199.397,3.8008,3.4478,0.9675,0.8382,623,1932
14,1,512.619,2.7139,2.4454,0.3202,0.3952,294,2115
15,1,760.9337,3.5461,3.3079,0.4872,0.3522,235,1731
16,1,304.5105,3.3478,1.8252,0.2322,0.2216,182,656
