ecr3_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,0.944,0.1949,0.0014,0.001,NA,NA,0,0
2,0.5393,7.1518,0.0014,0.001,0.277,0.0122,0,0
3,0.0938,137.3349,0.0014,0.4676,0.1379,0.041,0,0
4,0.0499,14.9934,0.0014,0.5124,0.0915,0.0374,0,0
5,0.2743,7.2026,0.0014,0.7266,0.2347,0.0632,0,0
6,0.0854,20.0602,0.0014,0.6323,0.1858,0.0678,0,0
7,0.0217,0.1508,0.0014,0.495,0.1,0.0071,0,0
8,0.1268,32.684,0.0014,0.82,0.1775,0.0076,0,0
9,0.0576,3.7151,0.0014,0.7622,0.1824,0.0075,0,0
10,0.1215,9.4058,0.0014,0.7346,0.1982,0.0574,0,0
11,0.0118,23.9889,0.0014,0.001,0.1583,0.0176,0,0
12,0.0226,0.8911,0.0014,0.001,0,0,0,0
13,0.3211,0.6096,0.0014,0.001,NA,NA,0,0
14,0.0471,3.7964,0.8503,0.001,0,0,0,0
15,0.0109,1.4833,0.0014,0.001,0.0168,0.0755,0,0
16,0.0127,0.5025,1.3557,0.5558,0.2977,0.0576,0,0
17,0.0721,104.1062,0.9273,0.7348,0.2289,0.1373,0,0
18,0.0407,23.7564,0.8679,0.3422,0.2052,0,0,0
19,0.0498,16.5685,0.9646,0.6544,0.285,0.056,0,0
20,0.0375,11.7367,1.0454,0.8265,NA,NA,0,0
21,0.0425,42.8907,0.7387,0.8061,0.1632,0,0,0
22,0.0715,17.9662,0.5933,0.5226,NA,NA,0,0
23,0.068,79.9484,0.0014,0.7388,NA,NA,0,0
24,0.0282,31.9691,0.7118,0.9547,NA,NA,0,0
25,0.021,54.4471,0.0014,0.001,NA,NA,0,0
26,0.1602,180.4941,1.1395,0.001,NA,NA,0,0
27,0.1042,132.2439,0.0014,0.001,NA,NA,0,0
28,0.1787,99.3158,0.0014,0.001,NA,NA,0,0
29,0.0612,66.2335,0.0014,0.9303,NA,NA,0,0
30,0.061,4.3255,1.4711,0.7252,NA,NA,0,0
31,0.0576,7.6134,1.5013,0.8489,NA,NA,0,0
32,0.0359,0.9759,0.9519,0.6579,NA,NA,0,0
33,0.0829,0.1954,0.0014,0.001,NA,NA,0,0
34,0.0778,3.2312,1.1077,0.001,NA,NA,0,0
35,0.0608,72.121,0.8707,0.001,NA,NA,0,0
36,0.0545,74.4212,1.4803,0.802,NA,NA,0,0
37,0.0637,99.6971,0.7465,0.001,NA,NA,0,31
38,0.0617,2.099,0.0014,0.001,NA,NA,0,0
39,0.0249,22.3673,0.0014,0.001,NA,NA,0,0
40,0.1256,51.9943,0.0014,0.001,NA,NA,0,0
41,0.4127,269.4212,1.2868,1.1775,NA,NA,0,52
42,0.0166,0.0174,0.0014,0.7781,NA,NA,0,0
43,0.0382,0.1019,0.0014,0.7628,NA,NA,0,0
44,0.0573,1.0531,1.0368,0.6211,NA,NA,0,0
45,0.0645,0,0.0014,0.001,NA,NA,0,0
46,0.093,3.9085,1.2375,0.6439,NA,NA,0,0
47,0.0706,17.5743,0.0014,1.0119,NA,NA,0,0
48,0.0401,0,0.0014,0.001,0.1357,0.0876,0,0
49,0.0652,0.3555,1.1445,0.8058,NA,NA,0,0
50,0.0583,24.2859,1.1643,0.7655,NA,NA,0,0
51,0.0611,1.4783,1.5692,0.001,NA,NA,0,0
52,0.944,0,0.0014,0.001,NA,NA,0,0
53,0.9434,5.848,0.0014,0.001,NA,NA,0,0
54,0.6126,0.4489,0.0014,0.001,NA,NA,0,0
55,0.6287,1.2817,0.0014,0.001,NA,NA,0,0
56,0.4367,0,0.0014,0.001,0.1007,0,0,0
57,0.7184,12.2093,0.0014,0.001,NA,NA,0,0
58,0.4994,0,0.0014,0.001,NA,NA,0,0
59,0.5361,0.3088,0.0014,0.001,NA,NA,0,0
60,0.5182,0.4866,0.0014,0.001,0.1015,0,0,0
61,0.4301,0.3941,0.0014,0.001,0.0531,0,0,0
62,0.6407,0.0156,0.3902,0.6121,0.0268,0,0,0
63,0.438,0,0.0014,0.001,0.0816,0.0074,0,0
64,0.3026,0.3429,0.0014,0.001,0.0862,0.0212,0,0
65,0.595,0.0738,0.0014,0.001,0.0795,0.1678,0,0
66,0.5417,15.9,0.0014,0.001,0.0865,0.282,0,0
67,0.677,62.7229,0.0014,0.6763,0.0272,0,0,0
68,0.2322,0.0028,0.0014,0.001,0.0481,0,0,0
69,0.4747,0,0.0014,0.001,0.0424,0,0,0
70,0.5892,0.0701,0.0014,0.001,0.0312,0,0,0
71,0.7884,2.5239,0.0014,0.001,0.1612,0,0,0
72,0.339,0.9062,0.3871,0.001,0.0438,0,0,0
73,0.3446,2.3102,0.5328,0.3521,0.0522,0.0017,0,0
74,0.5599,1.5902,0.7706,0.001,0.0452,0,0,0
75,0.7815,27.1888,0.4668,0.4718,0.074,0,0,0
76,0.7836,62.7193,0.0014,0.8297,0.1086,0.0017,0,0
77,0.5844,11.7776,0.4721,0.7744,0.0743,0,0,0
78,0.4986,0,0.5725,0.6272,0.0679,0,0,0
79,0.354,0,0.6412,0.7112,0.0517,0.0021,0,0
80,0.5641,0.0718,0.7214,0.737,0.0831,0,0,0
81,0.0564,0.0434,0.0014,0.001,0.1094,0.0011,0,0
82,0.4284,0,0.0014,0.001,0.1312,0.0131,0,0
83,0.5061,1.2758,0.835,0.344,0.2197,0.0051,0,0
84,0.2931,0,0.8133,0.5884,0.0783,0,0,0
85,0.5585,0.327,0.0014,0.001,0.1277,0.0026,0,0
86,0.1849,0,0.747,0.5814,0.095,0.0048,0,0
87,0.0905,0,0.6846,0.6661,0.0813,0.0055,0,0
88,0.1465,0.593,0.0014,0.001,0.1013,0.0159,0,0
89,0.036,0.2948,0.0014,0.001,0.1123,0.1013,0,0
90,0.1871,0.1625,0.0014,0.001,0.0338,0.1056,0,0
91,0.3182,0,0.7654,0.7555,0.0862,0.0046,0,0
92,0.0376,0.2876,0.7352,0.8425,0.1202,0.0652,0,0
93,0.0572,3.2246,0.0014,0.001,0.1398,0.0657,0,0
94,0.1814,0.3879,0.8525,0.8452,0.1671,0.079,0,0
95,0.0203,0.4478,0.0014,0.001,0.1196,0.0958,0,0
96,0.078,0.378,0.0014,0.001,0.1077,0.1064,0,0
97,0.1935,36.3104,1.0242,0.8219,0.2096,0.2002,0,0
98,0.0486,1.1213,0.6999,0.7185,0.0867,0.0231,0,0
99,0.2922,12.8931,0.804,0.8429,0.1017,0.0812,0,0
100,0.1641,0,0.983,0.7152,0.1143,0.0118,0,0
101,0.1938,46.8726,0.3945,0.1935,0.0482,0,0,0
102,0.5663,58.1093,0.0014,0.3115,0.0562,0.0029,0,0
103,0.583,23.407,0.4765,0.4271,0.0453,0.0896,0,0
104,0.8603,72.8587,0.0014,0.001,0.0683,0.0429,0,0
105,0.0949,26.3625,0.3934,0.3321,0.0466,0.0386,0,0
106,0.6044,93.3951,0.4447,0.4766,0.1076,0.1572,0,0
107,0.2058,33.3438,0.7374,0.6979,0.1011,0.0804,0,0
108,0.0508,29.6228,0.0014,0.6121,0.1097,0.0526,0,0
109,0.0808,89.851,1.2254,0.001,0.1852,0.1408,0,0
110,0.2435,114.2259,0.0014,0.3038,0.2132,0.1164,0,0
111,0.2012,85.7083,0.0014,0.751,0.0957,0.0325,0,0
112,0.0569,40.2925,0.0014,0.5808,0.2025,0.0663,0,0
113,0.4667,117.2158,0.0014,0.7088,0.0917,0.0351,0,0
114,0.122,18.0579,0.0014,0.6168,0.1735,0.0874,0,0
115,0.1125,47.7495,0.6754,0.543,0.0861,0.0338,0,0
116,0.3239,61.6461,0.6566,0.7096,0.13,0.0412,0,0
117,0.3247,195.1581,0.7832,0.001,0.1488,0.0561,0,0
118,0.3249,38.6056,0.6625,0.8925,0.1727,0.0793,0,0
119,0.2269,61.9535,0.0014,0.6499,0.1239,0.0458,0,0
120,0.5661,3.4705,0.8831,0.2348,0.0371,0.1693,0,0
121,0.417,0.1005,0.0014,0.001,0.0332,0.1828,0,0
122,0.1927,4.3566,0.0014,0.001,0.1041,0.1469,0,0
123,0.3643,20.7921,0.0014,0.001,0.1042,0.0556,0,0
124,0.4274,3.8475,0.0014,0.001,0.0405,0.0436,0,0
125,0.2739,51.3588,0.0014,0.001,0.0699,0.0387,0,0
126,0.0356,5.4875,0.0014,0.001,0.1199,0.0553,0,0
127,0.0427,13.8122,1.2414,0.001,0.1912,0.0948,0,0
128,0.0601,12.3546,1.7917,0.2804,0.1433,0.1153,0,0
129,0.0081,2.8512,0.0014,0.001,0.1501,0.1075,0,0
130,0.0597,12.0043,1.1137,0.5409,0.1741,0.1648,0,0
131,0.0852,41.4382,0.9824,0.4034,0.1679,0.1473,0,0
132,0.0709,14.1092,1.0747,0.7829,0.155,0.1535,0,0
133,0.0501,3.9063,1.0897,0.5303,0.1529,0.1164,0,0
134,0.0288,8.9915,1.1957,0.6496,0.1897,0.2112,0,0
135,0.1035,8.3879,0.0014,0.001,0.1189,0.1064,0,0
136,0.0594,3.1832,0.0014,0.001,0.0694,0.1226,0,0
137,0.0164,0.6892,0.0014,0.001,0.1529,0.1159,0,0
138,0.0138,1.5886,1.0118,0.5468,0.1653,0.1264,0,0
139,0.0248,10.3557,1.4387,0.6824,0.2159,0.2222,0,0
140,0.0145,5.1762,0.8863,0.7432,0.1467,0.1772,0,0
141,0.0351,10.1973,1.0182,0.7665,0.209,0.1993,0,0
142,0.0425,9.0802,1.3571,0.6154,0.2195,0.2351,0,0
